"Variable","Loading","Absolute_Loading"
"`Product Name`Mesmerose",-0.701025968000531,0.701025968000531
"`Product Name`Kennedy",0.640060643030917,0.640060643030917
"MonthDecember",0.13174473980675,0.13174473980675
"MonthMarch",-0.117889464858102,0.117889464858102
"`Export Market`Japan",-0.0987493082419854,0.0987493082419854
"Day_of_WeekFriday",-0.0972825945821797,0.0972825945821797
"`Product Name`Secret Ambrosia",0.0916583900316476,0.0916583900316476
"Day_of_WeekWednesday",0.0857521736407285,0.0857521736407285
"MonthMay",-0.0848018856253568,0.0848018856253568
"MonthSeptember",0.0787477455891805,0.0787477455891805
"MonthAugust",-0.072877936108184,0.072877936108184
"MonthJuly",0.0655908552355254,0.0655908552355254
"MonthOctober",0.0585060703895999,0.0585060703895999
"MonthFebruary",-0.0409363532046242,0.0409363532046242
"MonthNovember",0.0389860129685442,0.0389860129685442
"MonthJanuary",-0.0382990568999442,0.0382990568999442
"MonthJune",0.0238664172052891,0.0238664172052891
"Day_of_WeekSaturday",-0.0235769247247717,0.0235769247247717
"Day_of_WeekTuesday",-0.0165437471475633,0.0165437471475633
"Time_Trend",0.0104051209903302,0.0104051209903302
"Day_of_WeekSunday",0.00781018710703324,0.00781018710703324
"Day_of_WeekThursday",0.000711664093599847,0.000711664093599847
