"Alpha","Lambda","Mean_MAE","SD_MAE","Mean_RMSE","SD_RMSE","Mean_R2","SD_R2"
1,14.819766727556,114.84090512958,6.28749194638809,135.842788301114,5.81125390389856,0.302273759557358,0.0830873417640257
1,7.36281518405712,114.718414533357,6.29249006830363,135.848985661751,5.65968109924818,0.30220371079254,0.0828536460109338
1,8.27326262410026,114.736064759951,6.26176158302143,135.871304950388,5.64548139284451,0.301947178198659,0.0831734885871123
1,13.1888963814564,114.869578357808,6.24533830807796,135.873349184044,5.72049770759892,0.30199449493251,0.0825681981445203
1,6.55255972132006,114.740188766362,6.2735294170898,135.882288279527,5.63509275643889,0.301898368663161,0.0824237979110231
1,16.6523020203549,114.894387181877,6.236601606765,135.91063171685,5.78795826194943,0.301639294951366,0.0823837754873951
1,9.29629126037878,114.821033024975,6.21781691160269,135.914679758217,5.60932401915362,0.301534624164408,0.0827926781478765
1,11.7374983667829,114.891083944856,6.21229634220233,135.923029747579,5.63338539752491,0.30151644708435,0.0820977869662102
1,5.83147041289811,114.800436510329,6.22021477328775,135.961563612916,5.57102277647731,0.301144571177788,0.0817018533872257
1,10.4458222982125,114.911937212584,6.18351892287941,135.982304810723,5.5486881753994,0.300940247530589,0.0816269544975205
1,18.711439098532,114.970539525654,6.16755709739876,136.040679469891,5.71905879890565,0.300408945863599,0.0811356970661965
1,5.18973479415389,114.927761062052,6.13710000878414,136.079691472545,5.47611875311804,0.300004329906694,0.080805088182249
1,21.0251983605694,115.069566938393,6.1099792482396,136.219826788489,5.64172037730975,0.298688074278156,0.0797032407008054
1,4.61862023239971,115.05759970683,6.07087422798117,136.223660468426,5.36601947173784,0.29860525427385,0.0798017734926335
1,4.1103550946691,115.174325990184,6.02787187490126,136.376905419931,5.25512374927967,0.297111875290064,0.078759780622985
1,23.6250650617232,115.188468467813,6.05071007472178,136.462629503332,5.55552145318434,0.296327165077182,0.0780559662926459
1,3.65802299261441,115.336520697178,6.02241589736241,136.569094834417,5.18554627010833,0.295218395580187,0.0778227749224048
1,3.2554686654324,115.50849582203,6.0338310091011,136.775597918166,5.16179787533112,0.293175327371654,0.0770073780068693
1,26.5464177601955,115.342848351605,5.99471242029352,136.787544247667,5.46053492305856,0.293134880325257,0.0761583413460538
1,2.89721422008824,115.668627002375,6.05011628157542,136.984377718136,5.15865636046161,0.291097301183365,0.0763359365325805
1,2.5783845890486,115.824012410447,6.09046118894225,137.195337219669,5.17517869616377,0.288987151186264,0.0757853489841851
1,29.8290097427323,115.553662870159,5.92401524443419,137.217882707143,5.3577742718749,0.288866760020405,0.0739694989199566
1,2.29464119116496,115.970296372784,6.12248604577556,137.41706540265,5.17474349735823,0.286761173955895,0.0751628877136936
1,2.04212289297532,116.128841299577,6.13513525210852,137.650709881107,5.17114410600276,0.284405113245306,0.0745404109748125
1,33.5175099808067,115.804471388129,5.83351019196395,137.78296133291,5.2499381114126,0.283210916515354,0.0714437792719466
1,1.81739346703557,116.279455911663,6.15114647323318,137.861104081363,5.18293777945852,0.28227107361508,0.0741519196894139
