"Variable","Coefficient","HC3_SE","t_value","p_value","CI_2.5","CI_97.5"
"(Intercept)",264.141508806316,11.1478995942245,23.694284880639,1.6015021600934e-106,242.275361061228,286.007656551404
"`Product Name`Kennedy",2.58538601787216,10.0636669535052,0.256902978786642,0.79728695136897,-17.1540838798212,22.3248559155655
"`Product Name`Mesmerose",-6.28439875980102,9.92522281119781,-0.633174577472543,0.526710816741409,-25.7523161516122,13.1835186320102
"`Product Name`Secret Ambrosia",-13.3414032912955,10.6668404737593,-1.25073617854469,0.21121499555022,-34.2639733055914,7.58116672300052
"`Export Market`Japan",333.956539396748,18.6006261959182,17.9540482067229,9.08892539354501e-66,297.472174148086,370.440904645411
"Day_of_WeekFriday",12.4668951984275,13.5700234986011,0.91870844584114,0.358387609597801,-14.1501492247616,39.0839396216167
"Day_of_WeekSaturday",15.8226925813547,12.8651337077422,1.22988947808857,0.218920669312849,-9.41173943304401,41.0571245957534
"Day_of_WeekSunday",25.8651350614355,12.8398715319281,2.01443877355925,0.0441318019931738,0.680253768591566,51.0500163542795
"Day_of_WeekThursday",18.9097080143086,13.3730299590755,1.41401821966874,0.157552566833742,-7.32094166216744,45.1403576907846
"Day_of_WeekTuesday",24.8631097914836,13.369508814427,1.85968760233389,0.0631145418378438,-1.36063330420882,51.0868528871759
"Day_of_WeekWednesday",15.7744089390287,12.8111886706318,1.23129940121714,0.218393224308148,-9.35421209801063,40.9030299760681
