"Variable","Coefficient","Std_Error","z_value","p_value","IRR"
"(Intercept)",5.58053277032579,0.0046769722750525,1193.19346836692,0,265.212865698203
"`Product Name`Kennedy",0.00852397921330456,0.00410677597995029,2.07558903989882,0.0379319759755674,1.00856041176732
"`Product Name`Mesmerose",-0.0194698242295944,0.00398875681455225,-4.88117604927988,1.05455045091696e-06,0.980718488678108
"`Product Name`Secret Ambrosia",-0.0434830448590224,0.00445270800770788,-9.76552803007763,1.58285294172632e-22,0.957448787632519
"`Export Market`Japan",0.791507459949245,0.00374940007794765,211.10242798696,0,2.20672046291742
"Day_of_WeekFriday",0.042119281464211,0.00557817181843473,7.55073218164692,4.32818053149101e-14,1.04301888415069
"Day_of_WeekSaturday",0.0520599292878888,0.00530434018109828,9.81459097842205,9.74323087477706e-23,1.05343887246314
"Day_of_WeekSunday",0.0842746129246002,0.00513484004962281,16.4123151081971,1.56136437878544e-60,1.08792761177426
"Day_of_WeekThursday",0.0631783933904607,0.00559022738653876,11.3015784550364,1.2888038104226e-29,1.06521684992791
"Day_of_WeekTuesday",0.0806476675716609,0.00540729318390415,14.9146097370352,2.64821068104487e-50,1.08398890483354
"Day_of_WeekWednesday",0.0521378533882114,0.00529324436188418,9.849885972325,6.86217842063744e-23,1.05352096393793
